index,Order_ID,Date,Status,Fulfilment,Sales_Channel ,ship_service_level,Style,SKU,Category,Size,ASIN,Courier_Status,Qty,currency,Amount,ship_city,ship_state,ship_postal_code,ship_country,B2B
357,171-3953233-6135505,06-09-2022,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,Shipped,1,INR,399,KANPUR,UTTAR PRADESH,208027,IN,FALSE
358,402-5525660-2118707,06-08-2022,Shipped,Amazon,Amazon.in,Expedited,JNE3365,JNE3365-KR-1052-A-S,kurta,S,B07WS14TZY,Shipped,1,INR,376,CHINNALAPATTI,TAMIL NADU,624301,IN,FALSE
359,406-9941718-1734719,06-07-2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3759,JNE3759-KR-XL,kurta,XL,B099FB2C9L,Shipped,1,INR,544,BENGALURU,KARNATAKA,560072,IN,FALSE
360,171-1297873-2176339,06-06-2022,Shipped,Amazon,Amazon.in,Expedited,MEN5001,MEN5001-KR-L,kurta,L,B08YYRNM5M,Shipped,1,INR,499,HYDERABAD,TELANGANA,500073,IN,FALSE
361,407-6401192-4057954,06-05-2022,Shipped,Amazon,Amazon.in,Expedited,J0098,J0098-TP-XS,Top,XS,B092CZW41L,Shipped,1,INR,426,BENGALURU,KARNATAKA,560100,IN,FALSE
362,406-3397500-8084361,06-04-2022,Shipped,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-XL,kurta,XL,B08KRTXC2Y,Shipped,1,INR,399,BENGALURU,KARNATAKA,560072,IN,FALSE
363,171-9620288-8918704,06-03-2022,Cancelled,Amazon,Amazon.in,Expedited,SET226,SET226-KR-PP-L,Set,L,B08MYTQ4F9,Cancelled,0,,,BAGESHWAR,UTTARAKHAND,263642,IN,FALSE
364,402-8089760-1132331,06-02-2022,Shipped,Amazon,Amazon.in,Expedited,SET380,SET380-KR-NP-XXXL,Set,3XL,B09QJ3F6T9,Shipped,1,INR,995,NEW DELHI,DELHI,110059,IN,FALSE
365,403-7042175-3905937,06-01-2022,Shipped,Amazon,Amazon.in,Expedited,MEN5009,MEN5009-KR-M,kurta,M,B08YYX8VKT,Shipped,1,INR,499,BARRACKPORE,WEST BENGAL,700122,IN,FALSE
366,403-7042175-3905937,04-30-22,Shipped,Amazon,Amazon.in,Expedited,MEN5011,MEN5011-KR-M,kurta,M,B08YZ1Z5XS,Shipped,1,INR,499,BARRACKPORE,WEST BENGAL,700122,IN,FALSE
367,407-4629176-4141949,04-29-22,Shipped,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-M,Set,M,B09NQ4NM75,Shipped,1,INR,597,Dombivali  east,MAHARASHTRA,421201,IN,FALSE
368,171-7306449-0588335,04-28-22,Shipped,Amazon,Amazon.in,Expedited,MEN5032,MEN5032-KR-S,kurta,S,B08YYXJJ4V,Shipped,1,INR,562,NEW DELHI,DELHI,110017,IN,FALSE
369,407-1396965-6726703,04-27-22,Shipped,Amazon,Amazon.in,Expedited,PJ0096,PJ0096-KR-N-5XL,kurta,5XL,B09LD3ZZ2N,Shipped,1,INR,696,PATNA,BIHAR,801105,IN,FALSE
370,407-0624641-6557144,04-26-22,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-L,Set,L,B08XQ8MCKP,Shipped,1,INR,788,Hyderabad,TELANGANA,500070,IN,FALSE
371,405-8444009-8723509,04-25-22,Shipped,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-M,kurta,M,B08KRXV1QR,Shipped,1,INR,399,New delhi,DELHI,110085,IN,FALSE
372,406-5729580-2175565,04-24-22,Shipped,Amazon,Amazon.in,Expedited,SET359,SET359-KR-NP-XXL,Set,XXL,B09RKFC8CP,Shipped,1,INR,1099,NEW TOWN,WEST BENGAL,700135,IN,FALSE
